n_est,min_samples_split,min_samples_leaf,max_features,error
100,2,2,10,2.60203878602762
100,2,2,30,2.6206386869689924
100,2,2,50,2.638549739158064
100,2,4,10,2.5755918045132042
100,2,4,30,2.6272793342470093
100,2,4,50,2.639786407809612
100,2,15,10,2.587502064930349
100,2,15,30,2.6241609390774814
100,2,15,50,2.626857490038964
100,2,30,10,2.4988705345930162
100,2,30,30,2.5159452052745337
100,2,30,50,2.520175065984941
100,2,50,10,2.462627704683854
100,2,50,30,2.467280135470611
100,2,50,50,2.477116428534237
100,4,2,10,2.60203878602762
100,4,2,30,2.6206386869689924
100,4,2,50,2.638549739158064
100,4,4,10,2.5755918045132042
100,4,4,30,2.6272793342470093
100,4,4,50,2.639786407809612
100,4,15,10,2.587502064930349
100,4,15,30,2.6241609390774814
100,4,15,50,2.626857490038964
100,4,30,10,2.4988705345930162
100,4,30,30,2.5159452052745337
100,4,30,50,2.520175065984941
100,4,50,10,2.462627704683854
100,4,50,30,2.467280135470611
100,4,50,50,2.477116428534237
100,10,2,10,2.587539931746778
100,10,2,30,2.61064225307458
100,10,2,50,2.6370361623889873
100,10,4,10,2.608805339588702
100,10,4,30,2.625490379520011
100,10,4,50,2.6348943284024413
100,10,15,10,2.587502064930349
100,10,15,30,2.6241609390774814
100,10,15,50,2.626857490038964
100,10,30,10,2.4988705345930162
100,10,30,30,2.5159452052745337
100,10,30,50,2.520175065984941
100,10,50,10,2.462627704683854
100,10,50,30,2.467280135470611
100,10,50,50,2.477116428534237
100,30,2,10,2.593207030207321
100,30,2,30,2.6389047267194545
100,30,2,50,2.6440458761868557
100,30,4,10,2.600143402123712
100,30,4,30,2.6417097915175436
100,30,4,50,2.645662709773045
100,30,15,10,2.587502064930349
100,30,15,30,2.6241609390774814
100,30,15,50,2.626857490038964
100,30,30,10,2.4988705345930162
100,30,30,30,2.5159452052745337
100,30,30,50,2.520175065984941
100,30,50,10,2.462627704683854
100,30,50,30,2.467280135470611
100,30,50,50,2.477116428534237
100,50,2,10,2.5821782507565807
100,50,2,30,2.6373257032297435
100,50,2,50,2.636508391997036
100,50,4,10,2.5819802058543107
100,50,4,30,2.620970732163799
100,50,4,50,2.661617803764384
100,50,15,10,2.571499542536113
100,50,15,30,2.6047737833884512
100,50,15,50,2.6248371301832383
100,50,30,10,2.4988705345930162
100,50,30,30,2.5159452052745337
100,50,30,50,2.520175065984941
100,50,50,10,2.462627704683854
100,50,50,30,2.467280135470611
100,50,50,50,2.477116428534237
500,2,2,10,2.582692724085308
500,2,2,30,2.591072752334519
500,2,2,50,2.610544111295141
500,2,4,10,2.5881304553545554
500,2,4,30,2.607082193208241
500,2,4,50,2.6198680881703154
500,2,15,10,2.5773975880240636
500,2,15,30,2.6137061084495006
500,2,15,50,2.625446807856551
500,2,30,10,2.4998679368908205
500,2,30,30,2.5144993910186533
500,2,30,50,2.5229193200594975
500,2,50,10,2.4618455623095334
500,2,50,30,2.467773380965643
500,2,50,50,2.474371007809604
500,4,2,10,2.582692724085308
500,4,2,30,2.591072752334519
500,4,2,50,2.610544111295141
500,4,4,10,2.5881304553545554
500,4,4,30,2.607082193208241
500,4,4,50,2.6198680881703154
500,4,15,10,2.5773975880240636
500,4,15,30,2.6137061084495006
500,4,15,50,2.625446807856551
500,4,30,10,2.4998679368908205
500,4,30,30,2.5144993910186533
500,4,30,50,2.5229193200594975
500,4,50,10,2.4618455623095334
500,4,50,30,2.467773380965643
500,4,50,50,2.474371007809604
500,10,2,10,2.574848356060147
500,10,2,30,2.596506760177514
500,10,2,50,2.621968083512033
500,10,4,10,2.588792535872464
500,10,4,30,2.609511223252529
500,10,4,50,2.6267594809919816
500,10,15,10,2.5773975880240636
500,10,15,30,2.6137061084495006
500,10,15,50,2.625446807856551
500,10,30,10,2.4998679368908205
500,10,30,30,2.5144993910186533
500,10,30,50,2.5229193200594975
500,10,50,10,2.4618455623095334
500,10,50,30,2.467773380965643
500,10,50,50,2.474371007809604
500,30,2,10,2.585894175271167
500,30,2,30,2.6109975934441825
500,30,2,50,2.634960142640679
500,30,4,10,2.594812275349143
500,30,4,30,2.6165089026537984
500,30,4,50,2.6366923820243486
500,30,15,10,2.5773975880240636
500,30,15,30,2.6137061084495006
500,30,15,50,2.625446807856551
500,30,30,10,2.4998679368908205
500,30,30,30,2.5144993910186533
500,30,30,50,2.5229193200594975
500,30,50,10,2.4618455623095334
500,30,50,30,2.467773380965643
500,30,50,50,2.474371007809604
500,50,2,10,2.575011545812237
500,50,2,30,2.6097773112331373
500,50,2,50,2.627011911891893
500,50,4,10,2.579491739966284
500,50,4,30,2.6090848193364846
500,50,4,50,2.632932437114712
500,50,15,10,2.5630190506600448
500,50,15,30,2.599201786518837
500,50,15,50,2.6150846323548804
500,50,30,10,2.4998679368908205
500,50,30,30,2.5144993910186533
500,50,30,50,2.5229193200594975
500,50,50,10,2.4618455623095334
500,50,50,30,2.467773380965643
500,50,50,50,2.474371007809604
1000,2,2,10,2.584467126668662
1000,2,2,30,2.5953320144109893
1000,2,2,50,2.6011524743924963
1000,2,4,10,2.5901628345928054
1000,2,4,30,2.607301411364646
1000,2,4,50,2.6186518659156923
1000,2,15,10,2.573964036072248
1000,2,15,30,2.609866899867508
1000,2,15,50,2.6193876209203806
1000,2,30,10,2.4965759122483338
1000,2,30,30,2.5130784173635248
1000,2,30,50,2.5221258712055565
1000,2,50,10,2.4583315137384614
1000,2,50,30,2.4692525932209044
1000,2,50,50,2.472599401320577
1000,4,2,10,2.584467126668662
1000,4,2,30,2.5953320144109893
1000,4,2,50,2.6011524743924963
1000,4,4,10,2.5901628345928054
1000,4,4,30,2.607301411364646
1000,4,4,50,2.6186518659156923
1000,4,15,10,2.573964036072248
1000,4,15,30,2.609866899867508
1000,4,15,50,2.6193876209203806
1000,4,30,10,2.4965759122483338
1000,4,30,30,2.5130784173635248
1000,4,30,50,2.5221258712055565
1000,4,50,10,2.4583315137384614
1000,4,50,30,2.4692525932209044
1000,4,50,50,2.472599401320577
1000,10,2,10,2.5817630846196984
1000,10,2,30,2.5988770639716496
1000,10,2,50,2.6179934742295075
1000,10,4,10,2.5976566317926153
1000,10,4,30,2.607351808394927
1000,10,4,50,2.6212766552443734
1000,10,15,10,2.573964036072248
1000,10,15,30,2.609866899867508
1000,10,15,50,2.6193876209203806
1000,10,30,10,2.4965759122483338
1000,10,30,30,2.5130784173635248
1000,10,30,50,2.5221258712055565
1000,10,50,10,2.4583315137384614
1000,10,50,30,2.4692525932209044
1000,10,50,50,2.472599401320577
1000,30,2,10,2.5868970876266437
1000,30,2,30,2.612905149823356
1000,30,2,50,2.6291271781209407
1000,30,4,10,2.5933079138084825
1000,30,4,30,2.6172253745951974
1000,30,4,50,2.6323627415281514
1000,30,15,10,2.573964036072248
1000,30,15,30,2.609866899867508
1000,30,15,50,2.6193876209203806
1000,30,30,10,2.4965759122483338
1000,30,30,30,2.5130784173635248
1000,30,30,50,2.5221258712055565
1000,30,50,10,2.4583315137384614
1000,30,50,30,2.4692525932209044
1000,30,50,50,2.472599401320577
1000,50,2,10,2.5750573429200294
1000,50,2,30,2.6101272028912534
1000,50,2,50,2.624108604941316
1000,50,4,10,2.577963843364797
1000,50,4,30,2.608656810304801
1000,50,4,50,2.6287716719043437
1000,50,15,10,2.559728841792775
1000,50,15,30,2.597403763939493
1000,50,15,50,2.609758918709854
1000,50,30,10,2.4965759122483338
1000,50,30,30,2.5130784173635248
1000,50,30,50,2.5221258712055565
1000,50,50,10,2.4583315137384614
1000,50,50,30,2.4692525932209044
1000,50,50,50,2.472599401320577
500,2,30,3,2.4643536632912797
500,2,30,5,2.4853782498481483
500,2,30,10,2.4998679368908205
500,2,30,15,2.5101862837081894
500,2,50,3,2.4307980915845904
500,2,50,5,2.44944194876546
500,2,50,10,2.4618455623095334
500,2,50,15,2.4669244974393
500,2,75,3,2.421754946034971
500,2,75,5,2.430184482988898
500,2,75,10,2.439981177854747
500,2,75,15,2.4453117381614393
500,2,100,3,2.4110699022090167
500,2,100,5,2.4247505202250776
500,2,100,10,2.4295715220825924
500,2,100,15,2.4274596338029335
500,3,30,3,2.4643536632912797
500,3,30,5,2.4853782498481483
500,3,30,10,2.4998679368908205
500,3,30,15,2.5101862837081894
500,3,50,3,2.4307980915845904
500,3,50,5,2.44944194876546
500,3,50,10,2.4618455623095334
500,3,50,15,2.4669244974393
500,3,75,3,2.421754946034971
500,3,75,5,2.430184482988898
500,3,75,10,2.439981177854747
500,3,75,15,2.4453117381614393
500,3,100,3,2.4110699022090167
500,3,100,5,2.4247505202250776
500,3,100,10,2.4295715220825924
500,3,100,15,2.4274596338029335
500,5,30,3,2.4643536632912797
500,5,30,5,2.4853782498481483
500,5,30,10,2.4998679368908205
500,5,30,15,2.5101862837081894
500,5,50,3,2.4307980915845904
500,5,50,5,2.44944194876546
500,5,50,10,2.4618455623095334
500,5,50,15,2.4669244974393
500,5,75,3,2.421754946034971
500,5,75,5,2.430184482988898
500,5,75,10,2.439981177854747
500,5,75,15,2.4453117381614393
500,5,100,3,2.4110699022090167
500,5,100,5,2.4247505202250776
500,5,100,10,2.4295715220825924
500,5,100,15,2.4274596338029335
500,10,30,3,2.4643536632912797
500,10,30,5,2.4853782498481483
500,10,30,10,2.4998679368908205
500,10,30,15,2.5101862837081894
500,10,50,3,2.4307980915845904
500,10,50,5,2.44944194876546
500,10,50,10,2.4618455623095334
500,10,50,15,2.4669244974393
500,10,75,3,2.421754946034971
500,10,75,5,2.430184482988898
500,10,75,10,2.439981177854747
500,10,75,15,2.4453117381614393
500,10,100,3,2.4110699022090167
500,10,100,5,2.4247505202250776
500,10,100,10,2.4295715220825924
500,10,100,15,2.4274596338029335
1000,2,30,3,2.459859112143073
1000,2,30,5,2.481196837045995
1000,2,30,10,2.4965759122483338
1000,2,30,15,2.5086057464060967
1000,2,50,3,2.4283614370647837
1000,2,50,5,2.4464871453144053
1000,2,50,10,2.4583315137384614
1000,2,50,15,2.465582123080097
1000,2,75,3,2.418724585138084
1000,2,75,5,2.4290337152561903
1000,2,75,10,2.4410550935850197
1000,2,75,15,2.445581269722675
1000,2,100,3,2.410768397221479
1000,2,100,5,2.4228074928452377
1000,2,100,10,2.428361211320193
1000,2,100,15,2.4271379983312036
1000,3,30,3,2.459859112143073
1000,3,30,5,2.481196837045995
1000,3,30,10,2.4965759122483338
1000,3,30,15,2.5086057464060967
1000,3,50,3,2.4283614370647837
1000,3,50,5,2.4464871453144053
1000,3,50,10,2.4583315137384614
1000,3,50,15,2.465582123080097
1000,3,75,3,2.418724585138084
1000,3,75,5,2.4290337152561903
1000,3,75,10,2.4410550935850197
1000,3,75,15,2.445581269722675
1000,3,100,3,2.410768397221479
1000,3,100,5,2.4228074928452377
1000,3,100,10,2.428361211320193
1000,3,100,15,2.4271379983312036
1000,5,30,3,2.459859112143073
1000,5,30,5,2.481196837045995
1000,5,30,10,2.4965759122483338
1000,5,30,15,2.5086057464060967
1000,5,50,3,2.4283614370647837
1000,5,50,5,2.4464871453144053
1000,5,50,10,2.4583315137384614
1000,5,50,15,2.465582123080097
1000,5,75,3,2.418724585138084
1000,5,75,5,2.4290337152561903
1000,5,75,10,2.4410550935850197
1000,5,75,15,2.445581269722675
1000,5,100,3,2.410768397221479
1000,5,100,5,2.4228074928452377
1000,5,100,10,2.428361211320193
1000,5,100,15,2.4271379983312036
1000,10,30,3,2.459859112143073
1000,10,30,5,2.481196837045995
1000,10,30,10,2.4965759122483338
1000,10,30,15,2.5086057464060967
1000,10,50,3,2.4283614370647837
1000,10,50,5,2.4464871453144053
1000,10,50,10,2.4583315137384614
1000,10,50,15,2.465582123080097
1000,10,75,3,2.418724585138084
1000,10,75,5,2.4290337152561903
1000,10,75,10,2.4410550935850197
1000,10,75,15,2.445581269722675
1000,10,100,3,2.410768397221479
1000,10,100,5,2.4228074928452377
1000,10,100,10,2.428361211320193
1000,10,100,15,2.4271379983312036
1500,2,30,3,2.4616799357803205
1500,2,30,5,2.480887626422234
1500,2,30,10,2.5001028341921643
1500,2,30,15,2.5097128479231117
1500,2,50,3,2.429745863788937
1500,2,50,5,2.4461219368196967
1500,2,50,10,2.459363725804839
1500,2,50,15,2.465656047255191
1500,2,75,3,2.418219906897734
1500,2,75,5,2.4291839746097192
1500,2,75,10,2.4421858289813905
1500,2,75,15,2.4460707613378387
1500,2,100,3,2.4116373141202483
1500,2,100,5,2.4209206754533636
1500,2,100,10,2.4286548350812174
1500,2,100,15,2.428403670347917
1500,3,30,3,2.4616799357803205
1500,3,30,5,2.480887626422234
1500,3,30,10,2.5001028341921643
1500,3,30,15,2.5097128479231117
1500,3,50,3,2.429745863788937
1500,3,50,5,2.4461219368196967
1500,3,50,10,2.459363725804839
1500,3,50,15,2.465656047255191
1500,3,75,3,2.418219906897734
1500,3,75,5,2.4291839746097192
1500,3,75,10,2.4421858289813905
1500,3,75,15,2.4460707613378387
1500,3,100,3,2.4116373141202483
1500,3,100,5,2.4209206754533636
1500,3,100,10,2.4286548350812174
1500,3,100,15,2.428403670347917
1500,5,30,3,2.4616799357803205
1500,5,30,5,2.480887626422234
1500,5,30,10,2.5001028341921643
1500,5,30,15,2.5097128479231117
1500,5,50,3,2.429745863788937
1500,5,50,5,2.4461219368196967
1500,5,50,10,2.459363725804839
1500,5,50,15,2.465656047255191
1500,5,75,3,2.418219906897734
1500,5,75,5,2.4291839746097192
1500,5,75,10,2.4421858289813905
1500,5,75,15,2.4460707613378387
1500,5,100,3,2.4116373141202483
1500,5,100,5,2.4209206754533636
1500,5,100,10,2.4286548350812174
1500,5,100,15,2.428403670347917
1500,10,30,3,2.4616799357803205
1500,10,30,5,2.480887626422234
1500,10,30,10,2.5001028341921643
1500,10,30,15,2.5097128479231117
1500,10,50,3,2.429745863788937
1500,10,50,5,2.4461219368196967
1500,10,50,10,2.459363725804839
1500,10,50,15,2.465656047255191
1500,10,75,3,2.418219906897734
1500,10,75,5,2.4291839746097192
1500,10,75,10,2.4421858289813905
1500,10,75,15,2.4460707613378387
1500,10,100,3,2.4116373141202483
1500,10,100,5,2.4209206754533636
1500,10,100,10,2.4286548350812174
1500,10,100,15,2.428403670347917
2000,2,30,3,2.4608404227222183
2000,2,30,5,2.4803487938592395
2000,2,30,10,2.499468971159759
2000,2,30,15,2.509325181900826
2000,2,50,3,2.429735746457544
2000,2,50,5,2.4463843666593643
2000,2,50,10,2.4578332587423795
2000,2,50,15,2.4640285624807654
2000,2,75,3,2.418520935984499
2000,2,75,5,2.4304884848850157
2000,2,75,10,2.441287407983195
2000,2,75,15,2.4457931096881675
2000,2,100,3,2.4118099486995246
2000,2,100,5,2.421059005313906
2000,2,100,10,2.4277623296759674
2000,2,100,15,2.4289634762363614
2000,3,30,3,2.4608404227222183
2000,3,30,5,2.4803487938592395
2000,3,30,10,2.499468971159759
2000,3,30,15,2.509325181900826
2000,3,50,3,2.429735746457544
2000,3,50,5,2.4463843666593643
2000,3,50,10,2.4578332587423795
2000,3,50,15,2.4640285624807654
2000,3,75,3,2.418520935984499
2000,3,75,5,2.4304884848850157
2000,3,75,10,2.441287407983195
2000,3,75,15,2.4457931096881675
2000,3,100,3,2.4118099486995246
2000,3,100,5,2.421059005313906
2000,3,100,10,2.4277623296759674
2000,3,100,15,2.4289634762363614
2000,5,30,3,2.4608404227222183
2000,5,30,5,2.4803487938592395
2000,5,30,10,2.499468971159759
2000,5,30,15,2.509325181900826
2000,5,50,3,2.429735746457544
2000,5,50,5,2.4463843666593643
2000,5,50,10,2.4578332587423795
2000,5,50,15,2.4640285624807654
2000,5,75,3,2.418520935984499
2000,5,75,5,2.4304884848850157
2000,5,75,10,2.441287407983195
2000,5,75,15,2.4457931096881675
2000,5,100,3,2.4118099486995246
2000,5,100,5,2.421059005313906
2000,5,100,10,2.4277623296759674
2000,5,100,15,2.4289634762363614
2000,10,30,3,2.4608404227222183
2000,10,30,5,2.4803487938592395
2000,10,30,10,2.499468971159759
2000,10,30,15,2.509325181900826
2000,10,50,3,2.429735746457544
2000,10,50,5,2.4463843666593643
2000,10,50,10,2.4578332587423795
2000,10,50,15,2.4640285624807654
2000,10,75,3,2.418520935984499
2000,10,75,5,2.4304884848850157
2000,10,75,10,2.441287407983195
2000,10,75,15,2.4457931096881675
2000,10,100,3,2.4118099486995246
2000,10,100,5,2.421059005313906
2000,10,100,10,2.4277623296759674
2000,10,100,15,2.4289634762363614
500,2,75,2,2.4106662489548834
500,2,75,3,2.421754946034971
500,2,75,4,2.4256699779194246
500,2,75,15,2.4453117381614393
500,2,75,30,2.445117639069455
500,2,75,45,2.445632891922189
500,2,100,2,2.4040136363160727
500,2,100,3,2.4110699022090167
500,2,100,4,2.414362946383399
500,2,100,15,2.4274596338029335
500,2,100,30,2.4336260303563906
500,2,100,45,2.4332383673948432
500,2,125,2,2.4024467958141265
500,2,125,3,2.412508320048292
500,2,125,4,2.4135675280490627
500,2,125,15,2.4184628651589666
500,2,125,30,2.4195392074241013
500,2,125,45,2.418711363479891
500,2,150,2,2.403690701405736
500,2,150,3,2.4143396635294225
500,2,150,4,2.4122816130681537
500,2,150,15,2.4145344268395297
500,2,150,30,2.414241482003493
500,2,150,45,2.412657238495582
1000,2,75,2,2.4080174010089115
1000,2,75,3,2.418724585138084
1000,2,75,4,2.4247208337653134
1000,2,75,15,2.445581269722675
1000,2,75,30,2.445726881644071
1000,2,75,45,2.448537113348896
1000,2,100,2,2.4027637117063043
1000,2,100,3,2.410768397221479
1000,2,100,4,2.4137436232702765
1000,2,100,15,2.4271379983312036
1000,2,100,30,2.43231876605883
1000,2,100,45,2.4326634588359943
1000,2,125,2,2.400828587309238
1000,2,125,3,2.412024447040245
1000,2,125,4,2.4126655377313577
1000,2,125,15,2.4189190401752487
1000,2,125,30,2.4189076147861797
1000,2,125,45,2.4192001546307846
1000,2,150,2,2.4015984712891822
1000,2,150,3,2.412559797339914
1000,2,150,4,2.411119928736115
1000,2,150,15,2.4138802995109367
1000,2,150,30,2.4127383740717394
1000,2,150,45,2.411821040070988
1500,2,75,2,2.408859814945874
1500,2,75,3,2.418219906897734
1500,2,75,4,2.425213035733366
1500,2,75,15,2.4460707613378387
1500,2,75,30,2.44725331236142
1500,2,75,45,2.4484334529215572
1500,2,100,2,2.4047101851445443
1500,2,100,3,2.4116373141202483
1500,2,100,4,2.4139338163730604
1500,2,100,15,2.428403670347917
1500,2,100,30,2.4323231553326505
1500,2,100,45,2.433142584354291
1500,2,125,2,2.4030783493983505
1500,2,125,3,2.411406930633792
1500,2,125,4,2.412866045580244
1500,2,125,15,2.419685944329095
1500,2,125,30,2.418560264533462
1500,2,125,45,2.419351019057441
1500,2,150,2,2.4041965682475683
1500,2,150,3,2.412024121727272
1500,2,150,4,2.4112013876381413
1500,2,150,15,2.4141507217541274
1500,2,150,30,2.4124957723583647
1500,2,150,45,2.411816468684956
750,2,75,2,2.4093423310426108
750,2,75,3,2.419725832954528
750,2,75,4,2.42437671773215
750,2,75,15,2.445704475014359
750,2,75,30,2.446330323557464
750,2,75,45,2.449498653463208
750,2,100,2,2.4027689084654713
750,2,100,3,2.4104841659471035
750,2,100,4,2.414300538949603
750,2,100,15,2.427833163925851
750,2,100,30,2.43359131470168
750,2,100,45,2.433983497820626
750,2,125,2,2.4016548546105283
750,2,125,3,2.4117562768723526
750,2,125,4,2.4140922304627974
750,2,125,15,2.418898169609348
750,2,125,30,2.41964853562258
750,2,125,45,2.4204681078308337
750,2,150,2,2.401622876846343
750,2,150,3,2.41236892901942
750,2,150,4,2.4117567093462102
750,2,150,15,2.41521482068102
750,2,150,30,2.413655013827631
750,2,150,45,2.4126658018239837
750,2,175,2,2.402307670466831
750,2,175,3,2.412519944400018
750,2,175,4,2.412111655836988
750,2,175,15,2.410500492851547
750,2,175,30,2.4067233605937757
750,2,175,45,2.4067953122170906
1250,2,75,2,2.4077338588348267
1250,2,75,3,2.4184326322668683
1250,2,75,4,2.4245351964317776
1250,2,75,15,2.4455877166277595
1250,2,75,30,2.44653226356968
1250,2,75,45,2.448292209838012
1250,2,100,2,2.403178186575476
1250,2,100,3,2.4108315455915172
1250,2,100,4,2.4135660790796307
1250,2,100,15,2.4285960628157066
1250,2,100,30,2.4327066316516524
1250,2,100,45,2.433369020548537
1250,2,125,2,2.4009229993174452
1250,2,125,3,2.410450365817705
1250,2,125,4,2.4123590751429704
1250,2,125,15,2.419628902136956
1250,2,125,30,2.4189995108052793
1250,2,125,45,2.4193819396826277
1250,2,150,2,2.4021489546425547
1250,2,150,3,2.4116023345118243
1250,2,150,4,2.411380221880616
1250,2,150,15,2.4142690769789334
1250,2,150,30,2.4129789447107934
1250,2,150,45,2.4120023235721777
1250,2,175,2,2.404191444392977
1250,2,175,3,2.4115432914029524
1250,2,175,4,2.412656221624496
1250,2,175,15,2.409661816869298
1250,2,175,30,2.4060545659981605
1250,2,175,45,2.40637125937149

